,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,norm_value,pIC50
427,CHEMBL597803,CN(Cc1ccc(Cl)cc1)C(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1,25.0,active,341.84600000000006,3.1517000000000017,2.0,4.0,25.0,7.6020599913279625
428,CHEMBL597211,CC(C)(C)c1ccc(CC2(N)CCN(c3ncnc4[nH]ccc34)CC2)cc1,27.0,active,393.27800000000013,2.4934000000000003,3.0,5.0,27.0,7.568636235841013
429,CHEMBL599848,NC1(C(=O)NCc2ccc(OC(F)(F)F)cc2)CCN(c2ncnc3[nH]ccc23)CC1,29.0,active,363.50900000000007,3.7958000000000025,2.0,4.0,29.0,7.5376020021010435
430,CHEMBL603262,CC(C)(C)c1ccc(CC2(N)CCN(c3ccnc4[nH]ccc34)CC2)cc1,31.0,active,384.8710000000001,2.3390000000000004,3.0,5.0,31.0,7.508638306165727
431,CHEMBL597817,NC1(Cc2ccc(OC(F)(F)F)cc2)CCN(c2ncnc3[nH]ccc23)CC1,35.0,active,380.4960000000001,2.4841000000000006,3.0,5.0,35.0,7.455931955649724
432,CHEMBL597212,NC1(Cc2cccc(Cl)c2Cl)CCN(c2ncnc3[nH]ccc23)CC1,35.0,active,391.39700000000005,3.3969000000000023,2.0,5.0,35.0,7.455931955649724
433,CHEMBL600646,NC1(C(=O)NCc2ccccc2Cl)CCN(c2ncnc3[nH]ccc23)CC1,36.0,active,359.83600000000007,3.2908000000000017,2.0,4.0,36.0,7.443697499232712
434,CHEMBL598439,NC1(Cc2ccccc2Cl)CCN(c2ncnc3[nH]ccc23)CC1,44.0,active,406.5340000000001,2.8695000000000004,3.0,5.0,44.0,7.356547323513812
435,CHEMBL598438,NC1(Cc2cccc(Cl)c2)CCN(c2ncnc3[nH]ccc23)CC1,46.0,active,376.4640000000001,1.840499999999999,2.0,5.0,46.0,7.337242168318426
436,CHEMBL590957,NC1(Cc2ccc(Cl)cc2Cl)CCN(c2ncnc3[nH]c(=O)[nH]c23)CC1,52.0,active,390.49100000000016,2.6193,2.0,5.0,52.0,7.2839966563652006
437,CHEMBL603675,CC(C)(C)c1ccc(CC2(N)CCN(c3ccnc4[nH]ncc34)CC2)cc1,58.0,active,337.4270000000001,2.506900000000001,2.0,5.0,58.0,7.236572006437063
438,CHEMBL603244,NC1(CNC(=O)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,69.0,active,446.3700000000001,3.5786000000000024,2.0,4.0,69.0,7.161150909262744
439,CHEMBL598841,CC(C)(C)c1ccc(CC2(N)CCN(c3ncnc4[nH]c(=O)[nH]c34)CC2)cc1,70.0,active,563.6690000000003,6.171200000000006,1.0,8.0,70.0,7.154901959985743
440,CHEMBL602236,NC1(Cc2ccccc2OC(F)(F)F)CCN(c2ncnc3[nH]ccc23)CC1,84.0,active,425.4930000000002,1.5841999999999998,3.0,10.0,84.0,7.075720713938118
441,CHEMBL605212,NC1(Cc2ccc(F)cc2Cl)CCN(c2ncnc3[nH]ccc23)CC1,90.0,active,542.6470000000003,5.086200000000004,1.0,8.0,90.0,7.045757490560675
447,CHEMBL447328,c1ccc(-c2cc3c(ccn4cnnc34)nc2-c2ccc(CN3CCC(c4n[nH]c(-c5ccccn5)n4)CC3)cc2)cc1,10.0,active,341.37500000000006,0.6644999999999996,3.0,9.0,10.0,8.0
448,CHEMBL521642,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@@H]3CCCNC3)c21,13.0,active,355.4020000000001,0.7070000000000001,3.0,9.0,13.0,7.886056647693163
452,CHEMBL1079175,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1,12.0,active,395.4670000000002,1.8015999999999999,2.0,9.0,12.0,7.920818753952375
454,CHEMBL494089,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@H]3CCCNC3)c21,13.0,active,385.42800000000017,0.9334000000000005,3.0,10.0,13.0,7.886056647693163
455,CHEMBL1098241,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)nc(CN)cc21,63.0,active,399.4550000000002,1.3235000000000001,3.0,10.0,63.0,7.200659450546418
456,CHEMBL1095624,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)nc(CCN)cc21,25.0,active,385.4280000000001,0.8040000000000002,3.0,10.0,25.0,7.6020599913279625
457,CHEMBL1097974,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)nc(CCCN)cc21,40.0,active,385.4280000000001,0.9318000000000006,3.0,10.0,40.0,7.3979400086720375
458,CHEMBL1098316,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)nc(CNC)cc21,16.0,active,385.4280000000001,0.9318000000000006,3.0,10.0,16.0,7.795880017344075
459,CHEMBL1099290,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)nc(CN(C)C)cc21,25.0,active,447.49900000000014,2.2846,3.0,10.0,25.0,7.6020599913279625
461,CHEMBL1096291,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)nc(OCCN)cc21,40.0,active,461.5260000000002,2.1546000000000003,3.0,10.0,40.0,7.3979400086720375
464,CHEMBL1098943,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)nc(OCCNC)cc21,79.0,active,447.49900000000014,2.2846,3.0,10.0,79.0,7.102372908709558
465,CHEMBL1098944,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)nc(OC[C@@H](C)N)cc21,50.0,active,461.5260000000002,2.6747000000000005,3.0,10.0,50.0,7.301029995663981
466,CHEMBL1099281,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)nc(OC[C@H](C)N)cc21,63.0,active,461.5260000000002,2.6747000000000005,3.0,10.0,63.0,7.200659450546418
467,CHEMBL1096634,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)nc(OC[C@H](N)c3ccccc3)cc21,20.0,active,400.4330000000001,2.1361,3.0,5.0,20.0,7.698970004336019
468,CHEMBL1096626,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)nc(OC[C@@H](N)c3ccccc3)cc21,20.0,active,515.5520000000001,6.865500000000004,2.0,8.0,20.0,7.698970004336019
469,CHEMBL1098938,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)nc(OC[C@H](N)Cc3ccccc3)cc21,10.0,active,397.482,4.363420000000002,3.0,4.0,10.0,8.0
470,CHEMBL1098939,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)nc(OC[C@@H](N)Cc3ccccc3)cc21,20.0,active,439.5630000000001,5.315920000000003,3.0,4.0,20.0,7.698970004336019
471,CHEMBL1099276,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)nc(O[C@@H](CN)c3ccccc3)cc21,25.0,active,407.2590000000001,3.358900000000001,1.0,5.0,25.0,7.6020599913279625
472,CHEMBL1099296,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)nc(O[C@H](CN)c3ccccc3)cc21,25.0,active,361.44900000000007,1.8483999999999996,1.0,5.0,25.0,7.6020599913279625
473,CHEMBL1099297,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)nc(O[C@@H](CCN)c3ccccc3)cc21,16.0,active,395.8940000000001,2.501800000000001,1.0,5.0,16.0,7.795880017344075
474,CHEMBL1099298,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)nc(O[C@H](CCN)c3ccccc3)cc21,50.0,active,386.4590000000001,1.7200799999999996,1.0,6.0,50.0,7.301029995663981
475,CHEMBL1171647,CCc1c[nH]c2ncnc(N3CC[C@](N)(CNC(=O)c4ccc(F)cc4F)C3)c12,9.0,active,379.43900000000014,1.9874999999999996,1.0,5.0,9.0,8.045757490560675
476,CHEMBL1243326,CNc1nccc(-c2cccnc2Oc2ccc(Nc3nnc(-c4ccc(F)cc4)c4ccccc34)cc2)n1,25000.0,inactive,391.47500000000014,1.8570000000000002,1.0,6.0,25000.0,4.6020599913279625
477,CHEMBL379300,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc12,30.0,active,375.47600000000017,2.1568199999999997,1.0,5.0,30.0,7.522878745280337
478,CHEMBL1254114,CCCc1cc(-c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)cc2c(C)n[nH]c12,10000.0,inactive,440.3450000000002,2.610900000000001,1.0,5.0,10000.0,5.0
479,CHEMBL1254115,CC(C)(C)n1nc(Cc2cccc(I)c2)c2c(N)ncnc21,10000.0,inactive,395.89400000000006,2.501800000000001,1.0,5.0,10000.0,5.0
